epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,989.353,0.86721,2.11586,1.25199,0.42351,0.61225,0.46633,0.35341,0.82677,1.59468,1.18078,0.0700207,0.00333103,0.00333103
2,1979.21,0.87008,1.2787,1.22689,0.484,0.65897,0.50626,0.37817,0.89057,1.49767,1.23466,0.0396908,0.00633448,0.00633448
3,2966.92,0.96117,1.38252,1.28379,0.47242,0.55663,0.44799,0.31883,1.02013,1.66959,1.34435,0.00903096,0.00900792,0.00900792
4,3953.24,0.99847,1.4137,1.30475,0.51569,0.6694,0.51598,0.37591,0.94694,1.45478,1.26501,0.008515,0.008515,0.008515
5,4940.41,0.94787,1.2573,1.26347,0.53719,0.77195,0.5803,0.44623,0.83504,1.23244,1.16262,0.00802,0.00802,0.00802
6,5926.02,0.90208,1.15748,1.22897,0.56494,0.76099,0.5884,0.45808,0.79188,1.18846,1.12049,0.007525,0.007525,0.007525
7,6911.76,0.86139,1.06988,1.1998,0.57203,0.78326,0.592,0.46375,0.78235,1.12342,1.11628,0.00703,0.00703,0.00703
8,7896.84,0.83503,1.00868,1.18103,0.58353,0.83892,0.61418,0.49356,0.71152,1.02022,1.05922,0.006535,0.006535,0.006535
9,8881.44,0.81553,0.95077,1.16483,0.58322,0.8768,0.61985,0.50188,0.69596,0.99475,1.05345,0.00604,0.00604,0.00604
10,9867.4,0.79276,0.90629,1.15014,0.58937,0.86878,0.62142,0.50735,0.68275,0.97853,1.04051,0.005545,0.005545,0.005545
11,10842.1,0.75107,0.79257,1.13987,0.59617,0.88276,0.62502,0.51156,0.68363,0.96008,1.03951,0.00505,0.00505,0.00505
12,11815.5,0.73363,0.75085,1.12471,0.5961,0.89222,0.62596,0.51428,0.66618,0.93762,1.02617,0.004555,0.004555,0.004555
13,12787.3,0.70549,0.70992,1.1026,0.59511,0.92488,0.63235,0.52519,0.6494,0.90055,1.01087,0.00406,0.00406,0.00406
14,13761.2,0.68659,0.67281,1.09318,0.60022,0.90642,0.6388,0.53257,0.63168,0.89664,1.00009,0.003565,0.003565,0.003565
15,14733.6,0.66739,0.64312,1.07798,0.60577,0.9245,0.64043,0.53662,0.61749,0.8973,0.98655,0.00307,0.00307,0.00307
16,15705.5,0.64444,0.61594,1.05659,0.6066,0.93228,0.63876,0.53997,0.60758,0.86813,0.97803,0.002575,0.002575,0.002575
17,16678.1,0.62472,0.58027,1.04362,0.61154,0.93134,0.6431,0.54537,0.59264,0.87976,0.96855,0.00208,0.00208,0.00208
18,17651.1,0.60335,0.54982,1.02974,0.61285,0.93455,0.63962,0.54489,0.58815,0.86732,0.96468,0.001585,0.001585,0.001585
19,18624.4,0.58789,0.52593,1.02108,0.61061,0.94006,0.64099,0.54994,0.57932,0.86631,0.95716,0.00109,0.00109,0.00109
20,19596,0.57133,0.50248,1.00725,0.61543,0.93853,0.64131,0.55164,0.57079,0.86252,0.95264,0.000595,0.000595,0.000595
